iter	Passed	Remaining
1097	11291	40126
1098	11300	40111
1099	11310	40100
1100	11320	40090
1101	11330	40077
1102	11340	40066
1103	11350	40054
1104	11360	40042
1105	11369	40030
1106	11380	40020
1107	11389	40007
1108	11399	39994
1109	11409	39984
1110	11420	39976
1111	11430	39964
1112	11440	39954
1113	11450	39943
1114	11459	39929
1115	11469	39916
1116	11478	39902
1117	11488	39890
1118	11498	39881
1119	11508	39868
1120	11519	39859
1121	11529	39849
1122	11538	39834
1123	11548	39824
1124	11559	39816
1125	11569	39803
1126	11579	39792
1127	11588	39778
1128	11597	39765
1129	11607	39753
1130	11617	39742
1131	11627	39729
1132	11636	39716
1133	11646	39704
1134	11655	39690
1135	11665	39678
1136	11675	39668
1137	11685	39655
1138	11694	39643
1139	11704	39630
1140	11714	39618
1141	11723	39605
1142	11734	39598
1143	11744	39586
1144	11755	39577
1145	11766	39569
1146	11776	39559
1147	11788	39553
1148	11799	39548
1149	11810	39539
1150	11822	39533
1151	11831	39521
1152	11841	39510
1153	11853	39503
1154	11864	39495
1155	11875	39489
1156	11886	39481
1157	11898	39476
1158	11909	39468
1159	11920	39462
1160	11929	39447
1161	11940	39439
1162	11950	39428
1163	11961	39419
1164	11971	39408
1165	11981	39397
1166	11993	39391
1167	12003	39382
1168	12013	39371
1169	12025	39365
1170	12036	39359
1171	12048	39354
1172	12060	39348
1173	12070	39335
1174	12080	39326
1175	12090	39316
1176	12101	39305
1177	12111	39295
1178	12122	39288
1179	12132	39277
1180	12142	39264
1181	12152	39254
1182	12162	39241
1183	12172	39231
1184	12182	39220
1185	12193	39211
1186	12202	39199
1187	12213	39189
1188	12223	39177
1189	12233	39168
1190	12244	39160
1191	12255	39150
1192	12265	39141
1193	12276	39131
1194	12286	39120
1195	12296	39109
1196	12306	39100
1197	12316	39088
1198	12326	39077
1199	12336	39065
1200	12346	39053
1201	12356	39044
1202	12366	39031
1203	12375	39018
1204	12385	39006
1205	12395	38993
1206	12406	38987
1207	12418	38981
1208	12428	38971
1209	12438	38961
1210	12449	38952
1211	12459	38942
1212	12470	38931
1213	12480	38922
1214	12491	38914
1215	12501	38903
1216	12512	38894
1217	12523	38885
1218	12533	38876
1219	12543	38863
1220	12553	38853
1221	12563	38843
1222	12574	38833
1223	12584	38822
1224	12594	38812
1225	12606	38806
1226	12616	38795
1227	12627	38786
1228	12638	38778
